;id;text
                  REQ-2.2.3.1 Réception des demandes;REQ-2.2.3.1;
                  REQ-2.2.3.2 Enregistrement des demandes;REQ-2.2.3.2;
                  REQ-2.2.3.3 Vérification des demandes;REQ-2.2.3.3;L'application doit permettre la vérification des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la validation des informations fournies par les PM/EGE, ainsi que la collecte des documents justificatifs nécessaires pour compléter la demande.
                  REQ-2.2.3.5 Approbation des demandes;REQ-2.2.3.5;L'application doit permettre l'approbation des demandes d'immatriculation soumises par les PM/EGE. Cela implique que l'application doit permettre la validation finale des demandes et la génération d'une autorisation d'exercice pour les PM/EGE.
                  REQ-2.2.3.4 Notification de l'état d'avancement du processus d'immatriculation;REQ-2.2.3.4;L'application doit permettre la notification de l'état d'avancement du processus d'immatriculation aux PM/EGE. Cela implique que l'application doit permettre l'envoi de notifications automatiques aux PM/EGE pour les informer de l'état d'avancement de leur demande.
                  REQ-2.2.3.6 Archivage des demandes d'immatriculation et des documents justificatifs;REQ-2.2.3.6;L'application doit permettre l'archivage des demandes d'immatriculation et des documents justificatifs soumis par les PM/EGE. Cela implique que l'application doit permettre la conservation des informations et documents pour la traçabilité et la vérification des demandes d'immatriculation.
          REQ-2.3 Vérification;REQ-2.3;L'application doit disposer de mécanismes de vérification et correction des données pour garantir l'exactitude des informations présentées dans la demande d'enregistrement.
          REQ-2.4 Intégration;REQ-2.4;L'application doit être capable de s'intégrer avec les autorités d'enregistrement et de régulation correspondantes pour garantir que les données collectées soient synchronisées de manière opportune et efficace.
              REQ-2.4.1 Attribution N° FINESS;REQ-2.4.1;L'application doit permettre la génération et la réservation d'un N° FINESS à attribuer à une PM/EGE lorsqu'il est demandé par une application partenaire. Puis transmise à l'application partenaire.
              REQ-2.4.2 Synchronisation;REQ-2.4.2;L'application doit être capable de synchroniser les données de manière opportune et efficace entre le répertoire et les applications partenaires. La synchronisation doit être bidirectionnelle pour garantir que les données soient à jour et précises des deux côtés.
                  REQ-2.4.2.1 Interface de programmation d'application (API) ;REQ-2.4.2.1;L'application doit disposer d'une API permettant la communication entre le répertoire et les applications partenaires.
                  REQ-2.4.2.2 Gestion des erreurs;REQ-2.4.2.2;L'application doit être capable de gérer les erreurs de communication avec les applications partenaires et fournir des informations claires et détaillées sur ces erreurs pour leur correction ultérieure.
                  REQ-2.4.2.3 Surveillance de la synchronisation;REQ-2.4.2.3;L'application doit disposer d'outils de surveillance permettant de vérifier que la synchronisation avec les applications partenaires est correctement effectuée et détecter rapidement les erreurs.
                  REQ-2.4.2.4 Gestion de versions;REQ-2.4.2.4;L'application doit disposer d'un système de gestion de versions pour garantir que les versions des données échangées avec les applications partenaires sont correctement gérées.
                  REQ-2.4.2.5 Validation des données;REQ-2.4.2.5;L'application doit valider les données importées pour garantir leur intégrité et leur cohérence.
                  REQ-2.4.2.6 Notification des erreurs;REQ-2.4.2.6;L'application doit notifier l'utilisateur en cas d'erreur lors de la synchronisation des données.
                  REQ-2.4.2.5 Synchronisation asynchrone;REQ-2.4.2.5;L'application doit être capable de réaliser la synchronisation de manière asynchrone pour éviter d'affecter les performances des applications partenaires.
              REQ-2.4.3 Synchronisation en lot;REQ-2.4.3;L'application doit permettre une synchronisation en lot.
                  REQ-2.4.3.5 Gestion des erreurs;REQ-2.4.3.5;
                  REQ-2.4.3.6 Surveillance de la synchronisation;REQ-2.4.2.6;
                  REQ-2.4.3.7 Contrôle des versions;REQ-2.4.3.7;L'application doit contrôler les versions des fichiers importés et conserver un historique des modifications apportées.
                  REQ-2.4.3.8 Validation des données;REQ-2.4.3.8;
                  REQ-2.4.3.1 Configuration du format d'entrée ;REQ-2.4.3.1;L'application doit permettre la configuration du format d'entrée des données pour qu'elle puisse lire différents types de fichiers.
                  REQ-2.4.3.2 Compatibilité des formats;REQ-2.4.3.;L'application doit être compatible avec différents formats de fichiers, tels que CSV, XLS, XML, entre autres.
                  REQ-2.4.3.3 Configuration du format de sortie;REQ-2.4.3.3;L'application doit permettre la configuration du format de sortie des données pour qu'elle puisse être compatible avec différentes applications.
                  REQ-2.4.3.4 Mappage des données;REQ-2.4.3.4;L'application doit permettre le mappage des données importées aux champs correspondants à l'API.
                  REQ-2.4.3.5 Notification des erreurs;REQ-2.4.3.5;L'application doit notifier l'utilisateur en cas d'erreur lors de l'importation des données.
      REQ-3 Administration de l'application;REQ-3;L'application doit disposer d'un ensemble de fonctionnalités et de procédures qui permettent aux administrateurs de gérer et de maintenir l'application.
          REQ-3.1 Gestion des utilisateurs;REQ-3.1;L'application doit permettre la gestion des utilisateurs et de leurs rôles. Cela implique la création, la modification et la suppression de comptes d'utilisateur, ainsi que la définition des droits d'accès correspondants.
              REQ-3.1.1 Gestion des droits d'accès;REQ-3.1.1;L'application doit permettre la gestion des habilitations et des rôles de chaque utilisateur. Cela implique la définition des droits d'accès par fonctionnalité de l'application, par critère géographique et catégorie de PM/EGE, voire type d’activité sanitaire, médico-sociale, sociale et enseignement
              REQ-3.1.2 Audit et historique des actions de l'utilisateur;REQ-3.1.2;L'application doit permettre la gestion des journaux d'activité. Cela implique l'enregistrement de toutes les actions effectuées dans l'application et la possibilité de les consulter ultérieurement.
          REQ-3.2 Configuration de l'application;REQ-3.2;L'application doit permettre de configurer le comportement de l'application et de ses données pour qu'elle fonctionne correctement.
              REQ-3.2.1 Gestion des nomenclatures;REQ-3.2.1;L'application doit permettre la création, la modification et la suppression de ses nomenclatures et classifications utilisées pour décrire les catégories d'établissements, les activités de soins, les disciplines, les statuts juridiques, les Modes de FixationTarifaire (MFT), etc. Les nomenclatures et classifications doivent être configurables en fonction des besoins de l'application et de la réglementation en vigueur.
                  REQ-3.2.1.1 Utilisation de nomenclatures et de classifications pour les catégories d'établissements;REQ-3.2.1.1;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les catégories (entités géographiques), telles que les établissements relevant de la loi hospitalière, les établissements à caractère sanitaire, etab.de formation des personnels sanitaires et sociaux, etc.
                  REQ-3.2.1.2 Utilisation de nomenclatures et de classifications pour les activités de soins;REQ-3.2.1.2;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les activités sanitaires autorisées/installées à/par les PM/EGE, telles que la pédiatrie, la cardiologie, Médecine d'urgence, etc.
                  REQ-3.2.1.3 Utilisation de nomenclatures et de classifications pour les disciplines;REQ-3.2.1.3;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les disciplines telles que les disciplines d'enseignement, les disciplines d'équipement sociales, etc.
                  REQ-3.2.1.4 Utilisation de nomenclatures et de classifications pour les statuts juridiques;REQ-3.2.1.4;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les statuts juridiques des PM/EGE, tels que les organismes et établissements publics, les organismes privés, etc.
                  REQ-3.2.1.5 Utilisation de nomenclatures et de classifications pour les tarifs (MFT) :;REQ-3.2.1.5;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les mode de fixation des tarifs (MFT) appliqués aux établissements.
                  REQ-3.2.1.6 Utilisation de nomenclatures et de classifications pour les services publics hospitaliers (SPH);REQ-3.2.1.6;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les services publics hospitaliers (SPH) et leur participation en tant qu’établissement public de santé, établissement de sante prive d'intérêt collectif, etc.
                  REQ-3.2.1.7 Utilisation de nomenclatures et de classifications pour les clientèles : ;REQ-3.2.1.7;L'application doit permettre l'utilisation de nomenclatures et de classifications pour décrire les clientèles des PM/EGE, telles que personnes handicapées, personnes âgées, enfants et adolescents, etc.
              REQ-3.2.2 Gestion des workflows d'immatriculation et d'autorisation;REQ-3.2.2;L'application doit permettre la gestion des étapes du processus d'immatriculation et d'autorisation des PM/EGE, depuis la demande d'immatriculation jusqu'à l'approbation de leur enregistrement dans le répertoire.
                  REQ-3.2.2.1 Définition des étapes du workflow;REQ-3.2.2.1;L'application doit permettre la définition des étapes du workflow pour le traitement des demandes d'immatriculation et autorisation. Cela implique que l'application doit permettre la création, la modification et la suppression des étapes du workflow, ainsi que la configuration de l'ordre dans lequel les étapes sont exécutées.
              REQ-3.2.3 Gestion des notifications;REQ-3.2.3;L'application doit permettre la gestion des notifications envoyées aux utilisateurs en cas d'événements importants, des mises à jour, des nouvelles fonctionnalités, des problèmes de sécurité, changement de statuts de leur demande, d'immatriculation ou de tout autre événement important lié à l'utilisation de l'application.
                  REQ-3.2.3.1 Envoi de notifications;REQ-3.2.3.1;L'application doit permettre l'envoi de notifications aux utilisateurs. Cela implique que l'application doit permettre l'envoi de notifications automatiques ou manuelles aux utilisateurs pour les informer des événements importants dans le système.
                  REQ-3.2.3.2 Configuration des notifications ;REQ-3.2.3.2;L'application doit permettre la configuration des notifications envoyées aux utilisateurs. Cela implique que l'application doit permettre la création, la modification et la suppression de modèles de notifications, ainsi que la configuration des événements déclencheurs pour l'envoi de notifications.
                  REQ-3.2.3.3 Gestion des préférences de notification;REQ-3.2.3.3;L'application doit permettre aux utilisateurs de configurer leurs préférences de notification, y compris les types de notification qu'ils souhaitent recevoir et les canaux de communication préférés et offrir des options pour les désactiver ou les réactiver selon les besoins.
                  REQ-3.2.3.4 Historique des notifications;REQ-3.2.3.4;L'application doit permettre la conservation de l'historique des notifications envoyées aux utilisateurs. Cela implique que l'application doit permettre la consultation de l'historique des notifications, ainsi que la recherche et la filtrage des notifications en fonction des critères spécifiques.
                  REQ-3.2.3.5 Suivi de l'état des notifications envoyées;REQ-3.2.3.5;L'application doit permettre le suivi de l'état des notifications envoyées pour garantir qu'elles ont été reçues et lues par les destinataires.
              REQ-3.2.4 Gérer les listes de valeurs pour les champs à choix multiples;REQ-3.2.4;L'application doit permettre la création, la modification et la suppression de valeurs pour les champs à choix multiples tels que les menus déroulants, les cases à cocher ou les boutons radio. Les listes de valeurs doivent être configurables en fonction des besoins de l'application et de la réglementation en vigueur. L'application doit également permettre la gestion des droits d'accès aux listes de valeurs en fonction des rôles et des niveaux d'autorisation des utilisateurs.
                  REQ-3.2.4.1 Configuration des listes de valeurs;REQ-3.2.4.1;L'application doit permettre la configuration des listes de valeurs pour les champs à choix multiples. Cela implique que l'application doit permettre la création, la modification et la suppression des listes de valeurs, ainsi que la configuration de l'ordre dans lequel les valeurs sont affichées.
                  REQ-3.2.4.2 Gestion des valeurs;REQ-3.2.4.2;L'application doit permettre la gestion des valeurs pour les champs à choix multiples. Cela implique que l'application doit permettre la création, la modification et la suppression des valeurs, ainsi que la configuration des propriétés des valeurs (par exemple, l'étiquette, la description, la couleur, etc.).
                  REQ-3.2.4.3  Attribution des valeurs aux champs;REQ-3.2.4.3;L'application doit permettre l'attribution des valeurs aux champs à choix multiples. Cela implique que l'application doit permettre la sélection des valeurs à partir de la liste de valeurs configurée pour chaque champ
                  REQ-3.2.4.4 Validation des valeurs;REQ-3.2.4.4;L'application doit permettre la validation des valeurs sélectionnées pour les champs à choix multiples. Cela implique que l'application doit vérifier que les valeurs sélectionnées sont valides et cohérentes avec les règles de gestion et les contraintes du système.
                  REQ-3.2.4.5 Personnalisation des listes de valeurs;REQ-3.2.4.5;L'application doit permettre la personnalisation des listes de valeurs pour les champs à choix multiples. Cela implique que l'application doit permettre la personnalisation de l'ordre, de l'étiquette, de la description et des propriétés des valeurs pour chaque champ.
              REQ-3.2.5 Gestion des modèles de documents, emails et notifications;REQ-3.2.5;L'application doit permettre la création, l'édition et la suppression de modèles de documents, tels que les formulaires de demande d’immatriculation ou les autorisations d'exercice, en tenant compte des besoins spécifiques et de la réglementation en vigueur. Elle doit également gérer les modèles d'e-mails et de notifications pour communiquer avec les utilisateurs, tout en permettant la gestion des droits d'accès aux modèles selon les rôles et niveaux d'autorisation des utilisateurs.
                  REQ-3.2.5.1.2 Exploration des modèles de documents;REQ-3.2.5.1.2;L'application doit permettre la consultation, la recherche et la filtrage des modèles de documents, emails et notifications enregistrés dans le système.
                  REQ-3.2.5.1.1 Configuration des modèles;REQ-3.2.5.1.1;L'application doit permettre la configuration des modèles, incluant les modèles de documents, les modèles d'emails et les modèles de notifications. Cela implique que l'application doit permettre la création, la modification et la suppression des modèles, ainsi que la configuration des propriétés des modèles (par exemple, le format, le style, le contenu, l'objet, le corps, les destinataires, le contenu, les événements déclencheurs, etc.).
      REQ-4 Portail Web;REQ-4;L'application doit fournir un portail Web pour permettre aux utilisateurs de gérer leur compte et d'accéder aux fonctionnalités de l'application.
          REQ-4.3 Accessibilité;REQ-5;Le portail doit être conçue en tenant compte des principes d'accessibilité pour les personnes handicapées, en respectant les normes internationales telles que les Directives pour l'accessibilité des contenus Web (WCAG).
          REQ-4.1 Expérience utilisateur;REQ-4.1;Le portail doit être convivial et intuitif pour l'utilisateur
          REQ-4.2 Compatibilité;REQ-4.2;Le portail doit être compatible avec les différents navigateurs et dispositifs utilisés par les utilisateurs, afin de garantir une expérience utilisateur optimale.
          REQ-4.4 Conformité réglementaire;REQ-4.4;L'application doit respecter toutes les lois et réglementations applicables, notamment en matière de protection des données personnelles et de confidentialité.
          REQ-4.5 Separation des responsabilités;REQ-4.5;Le portail web doit être conçu pour gérer et différencier les quatre types d'utilisateurs principaux, chacun ayant des rôles et des responsabilités spécifiques, ainsi que des niveaux d'accès et des fonctionnalités distincts.
              REQ-4.5.1 Section Visiteur;REQ-4.5.1;Cette section publique du portail regroupe les fonctionnalités spécifiques des utilisateurs non connecté (Visiteur) : Ce type d'utilisateur représente les personnes qui n'ont pas encore créé de compte ou qui ne se sont pas connectées. Ils peuvent consulter le répertoire des PM/EGE et accéder aux informations générales, à la documentation sur l'API et au formulaire d'aide dans la partie publique du portail web.
                  REQ-4.5.1.1 Accueil;REQ-4.5.1.1;Présentation de l'application et de ses fonctionnalités principales.
                  REQ-4.5.1.2 Inscription ;REQ-4.5.1.2;Permet aux nouveaux utilisateurs de créer un compte pour accéder à l'application.
                  REQ-4.5.1.3 Aide / Support;REQ-4.5.1.3;Fournit des informations et des ressources pour aider les utilisateurs à utiliser l'application.
                  REQ-4.5.1.4 Consultation des PM/EGE;REQ-4.5.1.4;Permet aux utilisateurs de rechercher et consulter des informations sur une ou plusieurs PM/EGE.
                  REQ-4.5.1.5 Informations générales;REQ-4.5.1.5;Fournit des informations sur l'application, son but et son utilisation, FAQ, base documentaire, aide et formations, etc.
              REQ-4.5.2 Section PM/EGE;REQ-4.5.2;Cette section privée du portail regroupe les fonctionnalités spécifiques des utilisateurs PM/EGE (Utilisateur final) : Ce type d'utilisateur représente les personnes morales qui soumettent des demandes d'immatriculation, vérifient le statut de leurs demandes, les modifient ou les suppriment. Le portail web doit leur fournir un accès sécurisé à la partie privée dédiée aux PM/EGE.
                  REQ-4.5.2.1 Demande d'immatriculation;REQ-4.5.2.1;Permet aux utilisateurs de soumettre une demande d'immatriculation pour une PM/EGE.
                  REQ-4.5.2.2 Suivi de la demande;REQ-4.5.2.2;Permet aux utilisateurs de consulter le statut de leur demande d'immatriculation.
                  REQ-4.5.2.3 Modification de la demande;REQ-4.5.2.3;Permet aux utilisateurs de modifier leur demande d'immatriculation.
                  REQ-4.5.2.4 Suppression de la demande;REQ-4.5.2.4;Permet aux utilisateurs de supprimer leur demande d'immatriculation.
                  REQ-4.5.2.5 Profile de l'utilisateur;REQ-4.5.2.5;Permettre la modification et la mise à jour des informations de l'utilisateur, ainsi que la gestion de ses paramètres de sécurité et de confidentialité.
              REQ-4.5.3 Section Gestionnaire;REQ-4.5.3;Cette section privée du portail regroupe les fonctionnalités spécifiques des utilisateurs des autorités compétentes (Gestionnaire de demandes) : Ce type d'utilisateur représente les autorités compétentes responsables de la gestion des demandes d'immatriculation. Leur rôle principal est d'évaluer, de valider ou de rejeter les demandes soumises par les PM/EGE. Le portail web doit leur permettre d'accéder à la section d'administration dédiée à la gestion des demandes.
              REQ-4.5.4 Section Administrateur;REQ-4.5.4;Cette section privée du portail regroupe les fonctionnalités spécifiques des utilisateurs administrateurs de l'application (Administrateur système) : Ce type d'utilisateur est responsable de la maintenance et de la configuration globale de l'application. Ils doivent être en mesure de gérer les comptes utilisateur, de configurer les paramètres généraux de l'application et de consulter les notifications envoyées par l'application. Le portail web doit leur donner accès à la section d'administration dédiée à la gestion de l'application.
