;id;text
              REQ-2.4.1 Attribution Nø FINESS;REQ-2.4.1;L'application doit permettre la g‚n‚ration et la r‚servation d'un Nø FINESS … attribuer … une PM/EGE lorsqu'il est demand‚ par une application partenaire. Puis transmise … l'application partenaire.
              REQ-2.4.2 Synchronisation;REQ-2.4.2;L'application doit ˆtre capable de synchroniser les donn‚es de maniŠre opportune et efficace entre le r‚pertoire et les applications partenaires. La synchronisation doit ˆtre bidirectionnelle pour garantir que les donn‚es soient … jour et pr‚cises des deux c“t‚s.
                  REQ-2.4.2.1 Interface de programmation d'application (API) ;REQ-2.4.2.1;L'application doit disposer d'une API permettant la communication entre le r‚pertoire et les applications partenaires.
                  REQ-2.4.2.2 Gestion des erreurs;REQ-2.4.2.2;L'application doit ˆtre capable de g‚rer les erreurs de communication avec les applications partenaires et fournir des informations claires et d‚taill‚es sur ces erreurs pour leur correction ult‚rieure.
                  REQ-2.4.2.3 Surveillance de la synchronisation;REQ-2.4.2.3;L'application doit disposer d'outils de surveillance permettant de v‚rifier que la synchronisation avec les applications partenaires est correctement effectu‚e et d‚tecter rapidement les erreurs.
                  REQ-2.4.2.4 Gestion de versions;REQ-2.4.2.4;L'application doit disposer d'un systŠme de gestion de versions pour garantir que les versions des donn‚es ‚chang‚es avec les applications partenaires sont correctement g‚r‚es.
                  REQ-2.4.2.5 Validation des donn‚es;REQ-2.4.2.5;L'application doit valider les donn‚es import‚es pour garantir leur int‚grit‚ et leur coh‚rence.
                  REQ-2.4.2.6 Notification des erreurs;REQ-2.4.2.6;L'application doit notifier l'utilisateur en cas d'erreur lors de la synchronisation des donn‚es.
                  REQ-2.4.2.5 Synchronisation asynchrone;REQ-2.4.2.5;L'application doit ˆtre capable de r‚aliser la synchronisation de maniŠre asynchrone pour ‚viter d'affecter les performances des applications partenaires.
              REQ-2.4.3 Synchronisation en lot;REQ-2.4.3;L'application doit permettre une synchronisation en lot.
                  REQ-2.4.3.5 Gestion des erreurs;REQ-2.4.3.5;
                  REQ-2.4.3.6 Surveillance de la synchronisation;REQ-2.4.2.6;
                  REQ-2.4.3.7 Contr“le des versions;REQ-2.4.3.7;L'application doit contr“ler les versions des fichiers import‚s et conserver un historique des modifications apport‚es.
                  REQ-2.4.3.8 Validation des donn‚es;REQ-2.4.3.8;
                  REQ-2.4.3.1 Configuration du format d'entr‚e ;REQ-2.4.3.1;L'application doit permettre la configuration du format d'entr‚e des donn‚es pour qu'elle puisse lire diff‚rents types de fichiers.
                  REQ-2.4.3.2 Compatibilit‚ des formats;REQ-2.4.3.;L'application doit ˆtre compatible avec diff‚rents formats de fichiers, tels que CSV, XLS, XML, entre autres.
                  REQ-2.4.3.3 Configuration du format de sortie;REQ-2.4.3.3;L'application doit permettre la configuration du format de sortie des donn‚es pour qu'elle puisse ˆtre compatible avec diff‚rentes applications.
                  REQ-2.4.3.4 Mappage des donn‚es;REQ-2.4.3.4;L'application doit permettre le mappage des donn‚es import‚es aux champs correspondants … l'API.
                  REQ-2.4.3.5 Notification des erreurs;REQ-2.4.3.5;L'application doit notifier l'utilisateur en cas d'erreur lors de l'importation des donn‚es.
      REQ-3 Administration de l'application;REQ-3;L'application doit disposer d'un ensemble de fonctionnalit‚s et de proc‚dures qui permettent aux administrateurs de g‚rer et de maintenir l'application.
          REQ-3.1 Gestion des utilisateurs;REQ-3.1;L'application doit permettre la gestion des utilisateurs et de leurs r“les. Cela implique la cr‚ation, la modification et la suppression de comptes d'utilisateur, ainsi que la d‚finition des droits d'accŠs correspondants.
              REQ-3.1.1 Gestion des droits d'accŠs;REQ-3.1.1;L'application doit permettre la gestion des habilitations et des r“les de chaque utilisateur. Cela implique la d‚finition des droits d'accŠs par fonctionnalit‚ de l'application, par critŠre g‚ographique et cat‚gorie de PM/EGE, voire type d?activit‚ sanitaire, m‚dico-sociale, sociale et enseignement
              REQ-3.1.2 Audit et historique des actions de l'utilisateur;REQ-3.1.2;L'application doit permettre la gestion des journaux d'activit‚. Cela implique l'enregistrement de toutes les actions effectu‚es dans l'application et la possibilit‚ de les consulter ult‚rieurement.
          REQ-3.2 Configuration de l'application;REQ-3.2;L'application doit permettre de configurer le comportement de l'application et de ses donn‚es pour qu'elle fonctionne correctement.
              REQ-3.2.1 Gestion des nomenclatures;REQ-3.2.1;L'application doit permettre la cr‚ation, la modification et la suppression de ses nomenclatures et classifications utilis‚es pour d‚crire les cat‚gories d'‚tablissements, les activit‚s de soins, les disciplines, les statuts juridiques, les Modes de FixationTarifaire (MFT), etc. Les nomenclatures et classifications doivent ˆtre configurables en fonction des besoins de l'application et de la r‚glementation en vigueur.
                  REQ-3.2.1.1 Utilisation de nomenclatures et de classifications pour les cat‚gories d'‚tablissements;REQ-3.2.1.1;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les cat‚gories (entit‚s g‚ographiques), telles que les ‚tablissements relevant de la loi hospitaliŠre, les ‚tablissements … caractŠre sanitaire, etab.de formation des personnels sanitaires et sociaux, etc.
                  REQ-3.2.1.2 Utilisation de nomenclatures et de classifications pour les activit‚s de soins;REQ-3.2.1.2;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les activit‚s sanitaires autoris‚es/install‚es …/par les PM/EGE, telles que la p‚diatrie, la cardiologie, M‚decine d'urgence, etc.
                  REQ-3.2.1.3 Utilisation de nomenclatures et de classifications pour les disciplines;REQ-3.2.1.3;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les disciplines telles que les disciplines d'enseignement, les disciplines d'‚quipement sociales, etc.
                  REQ-3.2.1.4 Utilisation de nomenclatures et de classifications pour les statuts juridiques;REQ-3.2.1.4;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les statuts juridiques des PM/EGE, tels que les organismes et ‚tablissements publics, les organismes priv‚s, etc.
                  REQ-3.2.1.5 Utilisation de nomenclatures et de classifications pour les tarifs (MFT) :;REQ-3.2.1.5;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les mode de fixation des tarifs (MFT) appliqu‚s aux ‚tablissements.
                  REQ-3.2.1.6 Utilisation de nomenclatures et de classifications pour les services publics hospitaliers (SPH);REQ-3.2.1.6;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les services publics hospitaliers (SPH) et leur participation en tant qu?‚tablissement public de sant‚, ‚tablissement de sante prive d'int‚rˆt collectif, etc.
                  REQ-3.2.1.7 Utilisation de nomenclatures et de classifications pour les clientŠles : ;REQ-3.2.1.7;L'application doit permettre l'utilisation de nomenclatures et de classifications pour d‚crire les clientŠles des PM/EGE, telles que personnes handicap‚es, personnes ƒg‚es, enfants et adolescents, etc.
              REQ-3.2.2 Gestion des workflows d'immatriculation et d'autorisation;REQ-3.2.2;L'application doit permettre la gestion des ‚tapes du processus d'immatriculation et d'autorisation des PM/EGE, depuis la demande d'immatriculation jusqu'… l'approbation de leur enregistrement dans le r‚pertoire.
                  REQ-3.2.2.1 D‚finition des ‚tapes du workflow;REQ-3.2.2.1;L'application doit permettre la d‚finition des ‚tapes du workflow pour le traitement des demandes d'immatriculation et autorisation. Cela implique que l'application doit permettre la cr‚ation, la modification et la suppression des ‚tapes du workflow, ainsi que la configuration de l'ordre dans lequel les ‚tapes sont ex‚cut‚es.
              REQ-3.2.3 Gestion des notifications;REQ-3.2.3;L'application doit permettre la gestion des notifications envoy‚es aux utilisateurs en cas d'‚v‚nements importants, des mises … jour, des nouvelles fonctionnalit‚s, des problŠmes de s‚curit‚, changement de statuts de leur demande, d'immatriculation ou de tout autre ‚v‚nement important li‚ … l'utilisation de l'application.
                  REQ-3.2.3.1 Envoi de notifications;REQ-3.2.3.1;L'application doit permettre l'envoi de notifications aux utilisateurs. Cela implique que l'application doit permettre l'envoi de notifications automatiques ou manuelles aux utilisateurs pour les informer des ‚v‚nements importants dans le systŠme.
                  REQ-3.2.3.2 Configuration des notifications ;REQ-3.2.3.2;L'application doit permettre la configuration des notifications envoy‚es aux utilisateurs. Cela implique que l'application doit permettre la cr‚ation, la modification et la suppression de modŠles de notifications, ainsi que la configuration des ‚v‚nements d‚clencheurs pour l'envoi de notifications.
                  REQ-3.2.3.3 Gestion des pr‚f‚rences de notification;REQ-3.2.3.3;L'application doit permettre aux utilisateurs de configurer leurs pr‚f‚rences de notification, y compris les types de notification qu'ils souhaitent recevoir et les canaux de communication pr‚f‚r‚s et offrir des options pour les d‚sactiver ou les r‚activer selon les besoins.
                  REQ-3.2.3.4 Historique des notifications;REQ-3.2.3.4;L'application doit permettre la conservation de l'historique des notifications envoy‚es aux utilisateurs. Cela implique que l'application doit permettre la consultation de l'historique des notifications, ainsi que la recherche et la filtrage des notifications en fonction des critŠres sp‚cifiques.
                  REQ-3.2.3.5 Suivi de l'‚tat des notifications envoy‚es;REQ-3.2.3.5;L'application doit permettre le suivi de l'‚tat des notifications envoy‚es pour garantir qu'elles ont ‚t‚ re‡ues et lues par les destinataires.
              REQ-3.2.4 G‚rer les listes de valeurs pour les champs … choix multiples;REQ-3.2.4;L'application doit permettre la cr‚ation, la modification et la suppression de valeurs pour les champs … choix multiples tels que les menus d‚roulants, les cases … cocher ou les boutons radio. Les listes de valeurs doivent ˆtre configurables en fonction des besoins de l'application et de la r‚glementation en vigueur. L'application doit ‚galement permettre la gestion des droits d'accŠs aux listes de valeurs en fonction des r“les et des niveaux d'autorisation des utilisateurs.
                  REQ-3.2.4.1 Configuration des listes de valeurs;REQ-3.2.4.1;L'application doit permettre la configuration des listes de valeurs pour les champs … choix multiples. Cela implique que l'application doit permettre la cr‚ation, la modification et la suppression des listes de valeurs, ainsi que la configuration de l'ordre dans lequel les valeurs sont affich‚es.
                  REQ-3.2.4.2 Gestion des valeurs;REQ-3.2.4.2;L'application doit permettre la gestion des valeurs pour les champs … choix multiples. Cela implique que l'application doit permettre la cr‚ation, la modification et la suppression des valeurs, ainsi que la configuration des propri‚t‚s des valeurs (par exemple, l'‚tiquette, la description, la couleur, etc.).
                  REQ-3.2.4.3  Attribution des valeurs aux champs;REQ-3.2.4.3;L'application doit permettre l'attribution des valeurs aux champs … choix multiples. Cela implique que l'application doit permettre la s‚lection des valeurs … partir de la liste de valeurs configur‚e pour chaque champ
                  REQ-3.2.4.4 Validation des valeurs;REQ-3.2.4.4;L'application doit permettre la validation des valeurs s‚lectionn‚es pour les champs … choix multiples. Cela implique que l'application doit v‚rifier que les valeurs s‚lectionn‚es sont valides et coh‚rentes avec les rŠgles de gestion et les contraintes du systŠme.
                  REQ-3.2.4.5 Personnalisation des listes de valeurs;REQ-3.2.4.5;L'application doit permettre la personnalisation des listes de valeurs pour les champs … choix multiples. Cela implique que l'application doit permettre la personnalisation de l'ordre, de l'‚tiquette, de la description et des propri‚t‚s des valeurs pour chaque champ.
              REQ-3.2.5 Gestion des modŠles de documents, emails et notifications;REQ-3.2.5;L'application doit permettre la cr‚ation, l'‚dition et la suppression de modŠles de documents, tels que les formulaires de demande d?immatriculation ou les autorisations d'exercice, en tenant compte des besoins sp‚cifiques et de la r‚glementation en vigueur. Elle doit ‚galement g‚rer les modŠles d'e-mails et de notifications pour communiquer avec les utilisateurs, tout en permettant la gestion des droits d'accŠs aux modŠles selon les r“les et niveaux d'autorisation des utilisateurs.
                  REQ-3.2.5.1.2 Exploration des modŠles de documents;REQ-3.2.5.1.2;L'application doit permettre la consultation, la recherche et la filtrage des modŠles de documents, emails et notifications enregistr‚s dans le systŠme.
                  REQ-3.2.5.1.1 Configuration des modŠles;REQ-3.2.5.1.1;L'application doit permettre la configuration des modŠles, incluant les modŠles de documents, les modŠles d'emails et les modŠles de notifications. Cela implique que l'application doit permettre la cr‚ation, la modification et la suppression des modŠles, ainsi que la configuration des propri‚t‚s des modŠles (par exemple, le format, le style, le contenu, l'objet, le corps, les destinataires, le contenu, les ‚v‚nements d‚clencheurs, etc.).
      REQ-4 Portail Web;REQ-4;L'application doit fournir un portail Web pour permettre aux utilisateurs de g‚rer leur compte et d'acc‚der aux fonctionnalit‚s de l'application.
          REQ-4.3 Accessibilit‚;REQ-5;Le portail doit ˆtre con‡ue en tenant compte des principes d'accessibilit‚ pour les personnes handicap‚es, en respectant les normes internationales telles que les Directives pour l'accessibilit‚ des contenus Web (WCAG).
          REQ-4.1 Exp‚rience utilisateur;REQ-4.1;Le portail doit ˆtre convivial et intuitif pour l'utilisateur
          REQ-4.2 Compatibilit‚;REQ-4.2;Le portail doit ˆtre compatible avec les diff‚rents navigateurs et dispositifs utilis‚s par les utilisateurs, afin de garantir une exp‚rience utilisateur optimale.
          REQ-4.4 Conformit‚ r‚glementaire;REQ-4.4;L'application doit respecter toutes les lois et r‚glementations applicables, notamment en matiŠre de protection des donn‚es personnelles et de confidentialit‚.
          REQ-4.5 Separation des responsabilit‚s;REQ-4.5;Le portail web doit ˆtre con‡u pour g‚rer et diff‚rencier les quatre types d'utilisateurs principaux, chacun ayant des r“les et des responsabilit‚s sp‚cifiques, ainsi que des niveaux d'accŠs et des fonctionnalit‚s distincts.
              REQ-4.5.1 Section Visiteur;REQ-4.5.1;Cette section publique du portail regroupe les fonctionnalit‚s sp‚cifiques des utilisateurs non connect‚ (Visiteur) : Ce type d'utilisateur repr‚sente les personnes qui n'ont pas encore cr‚‚ de compte ou qui ne se sont pas connect‚es. Ils peuvent consulter le r‚pertoire des PM/EGE et acc‚der aux informations g‚n‚rales, … la documentation sur l'API et au formulaire d'aide dans la partie publique du portail web.
                  REQ-4.5.1.1 Accueil;REQ-4.5.1.1;Pr‚sentation de l'application et de ses fonctionnalit‚s principales.
                  REQ-4.5.1.2 Inscription ;REQ-4.5.1.2;Permet aux nouveaux utilisateurs de cr‚er un compte pour acc‚der … l'application.
                  REQ-4.5.1.3 Aide / Support;REQ-4.5.1.3;Fournit des informations et des ressources pour aider les utilisateurs … utiliser l'application.
                  REQ-4.5.1.4 Consultation des PM/EGE;REQ-4.5.1.4;Permet aux utilisateurs de rechercher et consulter des informations sur une ou plusieurs PM/EGE.
                  REQ-4.5.1.5 Informations g‚n‚rales;REQ-4.5.1.5;Fournit des informations sur l'application, son but et son utilisation, FAQ, base documentaire, aide et formations, etc.
              REQ-4.5.2 Section PM/EGE;REQ-4.5.2;Cette section priv‚e du portail regroupe les fonctionnalit‚s sp‚cifiques des utilisateurs PM/EGE (Utilisateur final) : Ce type d'utilisateur repr‚sente les personnes morales qui soumettent des demandes d'immatriculation, v‚rifient le statut de leurs demandes, les modifient ou les suppriment. Le portail web doit leur fournir un accŠs s‚curis‚ … la partie priv‚e d‚di‚e aux PM/EGE.
                  REQ-4.5.2.1 Demande d'immatriculation;REQ-4.5.2.1;Permet aux utilisateurs de soumettre une demande d'immatriculation pour une PM/EGE.
                  REQ-4.5.2.2 Suivi de la demande;REQ-4.5.2.2;Permet aux utilisateurs de consulter le statut de leur demande d'immatriculation.
                  REQ-4.5.2.3 Modification de la demande;REQ-4.5.2.3;Permet aux utilisateurs de modifier leur demande d'immatriculation.
                  REQ-4.5.2.4 Suppression de la demande;REQ-4.5.2.4;Permet aux utilisateurs de supprimer leur demande d'immatriculation.
                  REQ-4.5.2.5 Profile de l'utilisateur;REQ-4.5.2.5;Permettre la modification et la mise … jour des informations de l'utilisateur, ainsi que la gestion de ses paramŠtres de s‚curit‚ et de confidentialit‚.
              REQ-4.5.3 Section Gestionnaire;REQ-4.5.3;Cette section priv‚e du portail regroupe les fonctionnalit‚s sp‚cifiques des utilisateurs des autorit‚s comp‚tentes (Gestionnaire de demandes) : Ce type d'utilisateur repr‚sente les autorit‚s comp‚tentes responsables de la gestion des demandes d'immatriculation. Leur r“le principal est d'‚valuer, de valider ou de rejeter les demandes soumises par les PM/EGE. Le portail web doit leur permettre d'acc‚der … la section d'administration d‚di‚e … la gestion des demandes.
              REQ-4.5.4 Section Administrateur;REQ-4.5.4;Cette section priv‚e du portail regroupe les fonctionnalit‚s sp‚cifiques des utilisateurs administrateurs de l'application (Administrateur systŠme) : Ce type d'utilisateur est responsable de la maintenance et de la configuration globale de l'application. Ils doivent ˆtre en mesure de g‚rer les comptes utilisateur, de configurer les paramŠtres g‚n‚raux de l'application et de consulter les notifications envoy‚es par l'application. Le portail web doit leur donner accŠs … la section d'administration d‚di‚e … la gestion de l'application.
